caseID,caseCG_in,caseIy_kgm2,caseCLdeltaE,caseTau_s,isStable,verticalSpeedPhaseMargin_deg,altitudePhaseMargin_deg,verticalSpeedCrossover_radps,altitudeCrossover_radps,bandwidthSeparationRatio,smallOvershoot_pct,smallRiseTime_s,smallSettlingTime_s,smallFinalError_ft,smallPeakPitchCommand_deg,smallPeakVerticalSpeed_fpm,smallPeakElevator_deg,smallPeakActuatorRate_degps,smallPeakSpeedFraction,smallPeakAlpha_deg,operationalOvershoot_pct,operationalRiseTime_s,operationalSettlingTime_s,operationalFinalError_ft,operationalPeakPitchCommand_deg,operationalPeakPitch_deg,operationalPeakVerticalSpeed_fpm,operationalPeakElevator_deg,operationalPeakActuatorRate_degps,operationalPeakSpeedFraction,operationalPeakAlpha_deg,verticalSpeedLimitActive,pitchCommandLimitActive,elevatorPositionLimitActive,elevatorRateLimitActive
1,41,1800,0.3,0.02,1,107.595553362583,71.131495770617,0.54519417083796,0.321742537275417,3.25023596955011,0,14.62,54.92,0.0368647028726944,0.582694243964719,85.3115065134202,0.0966795965648957,0.0553580273087733,0.00737773352192524,0.07965834713329,0,39.1,69.36,0.458758960918961,1.74294318276254,1.10520547987152,198.480338436,0.56993336244139,0.266084983636024,0.0644296605754367,0.574114861148502,1,0,0,0
2,41,1800,0.3,0.035,1,106.359300369559,71.1411694532714,0.553214954811832,0.321750674005573,3.24821192156493,0,14.66,54.82,0.0368649380515408,0.583757074889411,85.6084011224552,0.0972998253463159,0.0562188554777169,0.00738502198243976,0.0801627592748647,0,39.1,69.28,0.458763397890229,1.74330436689412,1.10524225080011,199.242814364058,0.570831437659348,0.266662686135516,0.0644329082154701,0.574844694102507,1,0,0,0
3,41,1800,0.3,0.05,1,105.056036492611,71.1508289575208,0.561607156771236,0.32175904835845,3.24582929690806,0,14.68,54.72,0.0368651737944693,0.584843792272959,85.9133430542644,0.0979287900512853,0.057102490894721,0.00739273395785677,0.0806748135430567,0,39.1,69.18,0.458767677813953,1.74361166640916,1.10604925339877,200.027885730416,0.571766338770982,0.266722833357953,0.0644361945981902,0.575599748999848,1,0,0,0
4,41,1800,0.427,0.02,1,104.973527768047,71.0192362974577,0.556000403670814,0.322166114368035,3.20862847245373,0,14.78,56.66,0.0404486291028282,0.586984333673555,85.7921535602479,0.0991410406640676,0.0566609655838289,0.00741414856093997,0.0821908126195746,0,39.42,75.4,0.500728080700973,1.74342224653192,1.11397003469465,198.80254823131,0.587971542806741,0.267205154628274,0.0647904054484982,0.592377792992107,1,0,0,0
5,41,1800,0.427,0.035,1,103.727121013937,71.0318838186038,0.563866232382903,0.322138011230434,3.20700314982967,0,14.82,56.46,0.0404488757406142,0.588068792000464,86.0941357790715,0.099774764390317,0.0575372196184556,0.00741974460217566,0.0827087672730519,0,39.44,75.4,0.500733526742351,1.74375475999513,1.11400988910479,199.566511155526,0.5888931353936,0.267695373066611,0.0647936594476794,0.593130391103132,1,0,0,0
6,41,1800,0.427,0.05,1,102.398126336979,71.0419196810858,0.572178602780794,0.322145597057483,3.20467679644908,0,14.84,56.24,0.0404491521950641,0.589176161083386,86.4041860515843,0.100420639199804,0.0584365205622546,0.007428017885373,0.0832377755053912,0,39.44,75.38,0.500739780915349,1.74403496121395,1.11404308303498,200.352867903634,0.589850251042508,0.267762164787702,0.0647969511061203,0.593908703763417,1,0,0,0
7,41,1800,0.5,0.02,1,103.536552164703,70.9545736933828,0.561452117133439,0.322381668754724,3.18487086258162,0,14.88,61.18,0.042739284847367,0.589531594300469,86.0734995256612,0.100611633229633,0.0574317072111576,0.00743869724312378,0.08370373372378,0,39.64,76.52,0.527419134361211,1.74369828718157,1.11926462586395,198.983078914591,0.598848823497934,0.267851157208684,0.0650095729576042,0.603400757129491,1,0,0,0
8,41,1800,0.5,0.035,1,102.289047222035,70.9647849677701,0.569203866766528,0.322389493559264,3.18290994144715,0,14.9,61.32,0.0427394999454129,0.590622479646988,86.378735431863,0.101252591292103,0.0583189440409381,0.00744126288647687,0.0842311875289372,0,39.64,76.46,0.527423872453893,1.7440141992764,1.11930539166896,199.74867171943,0.599782498815274,0.26829063013899,0.0650128327979219,0.604165589036432,1,0,0,0
9,41,1800,0.5,0.05,1,100.964015630562,70.9750001128069,0.577364986785467,0.322397307269461,3.18060971174008,0,14.92,61.4,0.0427397478523076,0.591736373585923,86.6920363826638,0.101905595273601,0.0592291461135106,0.00744982466703553,0.0847662769082201,0,39.64,76.42,0.52742982266249,1.74427872714644,1.11933841888446,200.536499525529,0.600754372599112,0.268361122510782,0.0650161301775729,0.604956418258617,1,0,0,0
10,41,1828.6803192735,0.3,0.02,1,107.501291877992,71.1327743624115,0.545818307132188,0.321743426726733,3.25059385032021,0,14.62,54.9,0.0368647040381853,0.58276933947941,85.3332709914023,0.0967134543432052,0.0554169189241437,0.00737824746598877,0.0796997981077552,0,39.1,69.36,0.45875899652115,1.74298261175599,1.10520801978852,198.537000319243,0.56999552034447,0.266633326846553,0.0644298896722767,0.574168122616534,1,0,0,0
