caseID,cgIn,iyKgm2,clDeltaE,actuatorTau_s,isStable,fastModeWn,fastModeZeta,phaseMargin_deg,gainMargin_dB,gainCrossover_radps,innerNonPhugoidFrequency,bandwidthSeparationRatio,overshoot_pct,riseTime_s,settlingTime_s,peakPitchRate_degps,peakActuator_deg,peakActuatorRate_degps,peakUnsaturatedDemand_deg,peakSpeedPerturbationFraction,peakAlphaPerturbation_deg,finalAttitudeError_deg,maximumAttitudeDifferenceFromIdeal_deg
1,41,1800,0.3,0.02,1,7.26311601179736,0.708581849799392,55.1974790036712,30.0275013155078,1.04573916758688,6.93736606364781,6.63393538147406,0.886042765950097,2.91,29.72,0.329825604993823,0.572873908265978,0.199518811173707,0.572927694013007,0.0661610983766347,0.585458127687426,0.00620889877504004,0.00482939935681782
2,41,1800,0.3,0.035,1,7.51452338980626,0.703491492791182,54.4582459616424,25.9257890800555,1.04511437507645,7.31947584135966,7.00351656805431,0.946078710891277,2.88,29.7,0.331760130901107,0.572876506010513,0.190438461906444,0.572970630730912,0.0661614057976341,0.585460799572409,0.00620528487671107,0.00656705747037607
3,41,1800,0.3,0.05,1,7.81371195921356,0.687533566307018,53.7173743745122,23.5827202652661,1.04437494570711,8.07879177271914,7.73552813185233,1.01048137602096,2.86,29.69,0.333722365165952,0.57287910390685,0.183841613443462,0.573013567311851,0.0661617132367471,0.585463471613696,0.00620167075972672,0.00841957614990089
4,41,1800,0.427,0.02,1,7.25570626710458,0.709647713290046,55.1969087161458,30.097489905488,1.03371136742106,6.92213906379044,6.69639445008718,1.06927685989913,2.91,30.19,0.327857079664383,0.584051740595035,0.199581027032966,0.584106206852687,0.0658443365207796,0.596882435575288,0.00628862251911116,0.00479930119612918
5,41,1800,0.427,0.035,1,7.50748195908234,0.704767131409268,54.4627188704084,25.9978537777703,1.03309761669587,7.3036834725948,7.06969346803258,1.13195548619242,2.9,30.17,0.329763263178877,0.584054456139644,0.190549004650901,0.584149771709404,0.0658446501776,0.59688522828901,0.0062849422716695,0.00654063783186613
6,41,1800,0.427,0.05,1,7.80854996189608,0.689066264043928,53.7268974019155,23.6565180696508,1.03237251996835,8.06827575419875,7.81527558913144,1.19901630748608,2.88,30.16,0.331700546377032,0.584057171847397,0.18395811291782,0.584193336402667,0.0658449638534492,0.59688802117046,0.00628126180268312,0.00839384212057617
7,41,1800,0.5,0.02,1,7.25146108026954,0.710261105872726,55.1980396408668,30.137802519318,1.02674398344736,6.91337357816831,6.73329835832708,1.17510711026089,2.92,30.46,0.326699708391492,0.590675413452714,0.199616793524439,0.590730275974223,0.0656564712583119,0.603652181204912,0.00633507596219227,0.00478167654191231
8,41,1800,0.5,0.035,1,7.50344965746872,0.705500970502196,54.4668104491894,26.0393804368055,1.02613672406789,7.29459159722971,7.10879108615458,1.23929339102458,2.9,30.45,0.328592074693837,0.590678200283983,0.190612558954946,0.590774209287825,0.0656567886036641,0.603655047036041,0.00633135648822587,0.00652493183792018
9,41,1800,0.5,0.05,1,7.8056010716263,0.689948049853968,53.7339537095918,23.6990563825937,1.0254200065401,8.0622551975743,7.86239311321553,1.30793529010078,2.88,30.43,0.330511306868639,0.590680987284879,0.184028479408893,0.590818142420811,0.0656571059686121,0.603657913041503,0.00632763679114296,0.00837836616916912
10,41,1828.6803192735,0.3,0.02,1,7.19807590168415,0.704679648961906,55.1451240428798,30.0024459288203,1.04585720429887,6.87666641289232,6.57514848549746,0.889100696638838,2.91,29.72,0.329987531448994,0.572873899208149,0.199778745907042,0.572927684962013,0.0661610979477604,0.585458123541342,0.00620889956343991,0.00483440828110478
11,41,1828.6803192735,0.3,0.035,1,7.43925284902338,0.699420720642734,54.4059625824977,25.8945875572354,1.04523430007173,7.24288959232246,6.92944117106127,0.949249415843807,2.88,29.7,0.331926289864466,0.572876496957718,0.190804669943725,0.572970621690072,0.0661614053689883,0.585460795428766,0.00620528566466268,0.00657304846086412
12,41,1828.6803192735,0.3,0.05,1,7.72374696851306,0.683788634831879,53.6651603565873,23.5467946057638,1.04449668070058,7.94599058218036,7.60748284700214,1.01377432377907,2.86,29.69,0.333893328351596,0.572879094859235,0.184206685913588,0.5730135582813,0.0661617128083423,0.585463467472642,0.00620167154713366,0.0084269978195044
13,41,1828.6803192735,0.427,0.02,1,7.19076960276598,0.705749412408062,55.1449135047362,30.0732668326755,1.03382488901427,6.86158366955526,6.63708500585398,1.07255692794431,2.91,30.19,0.328016969661434,0.584051731653663,0.199840119728317,0.584106197918112,0.0658443361434844,0.596882431664652,0.00628862330218002,0.00480428598537175
14,41,1828.6803192735,0.427,0.035,1,7.43231227451233,0.700696496581927,54.4107938033032,25.9674083138405,1.03321292525,7.22725961273432,6.99493728360549,1.1353548826396,2.89,30.17,0.329927273543515,0.584054447203884,0.190913851038498,0.584149762785534,0.0658446498005724,0.596885224381307,0.00628494305470159,0.00654658823347094
15,41,1828.6803192735,0.427,0.05,1,7.71858263052519,0.685315348002371,53.6750404652449,23.6215577653102,1.03248954232237,7.93476045381257,7.68507585652145,1.20258028670403,2.88,30.16,0.3318692393864,0.58405716291716,0.184345057498184,0.58419332748941,0.0658449634766736,0.596888017265597,0.00628126258555519,0.00840121854764167
16,41,1828.6803192735,0.5,0.02,1,7.18658388977464,0.7063650423416,55.1462540361389,30.1140572446458,1.02685494557564,6.85290119427864,6.67367988419923,1.17852865842855,2.92,30.46,0.326858508098337,0.590675404585834,0.199875402080373,0.590730267114113,0.0656564709114845,0.603652177439698,0.00633507674126377,0.00478662797253885
17,41,1828.6803192735,0.5,0.035,1,7.42833794978928,0.701430408246868,54.415094155832,26.0093697314198,1.02624941653474,7.21826124363426,7.03363249453301,1.24290210090989,2.9,30.45,0.328754927645157,0.590678191422749,0.190976622276799,0.590774200438437,0.0656567882570997,0.603655043273745,0.00633135726747131,0.00653086800841803
18,41,1828.6803192735,0.5,0.05,1,7.71563210715231,0.686193661706081,53.6823048256594,23.6646513203439,1.02553435894148,7.92831789436735,7.73091396230811,1.31167890837478,2.88,30.43,0.330678754511778,0.590680978429296,0.184424615450446,0.590818133582149,0.0656571056222987,0.603657909282116,0.00632763757056751,0.00838571429980827
19,41,2300,0.3,0.02,1,6.32524873130862,0.654409575455896,54.2772143617125,29.6326307158672,1.04770396714297,6.06670465110379,5.79047597542974,0.941797174775305,2.87,29.72,0.332626222213494,0.572873750356137,0.203782136140789,0.572927536222313,0.066161090899531,0.585458055406161,0.0062089125227837,0.00491560557939852
20,41,2300,0.3,0.035,1,6.46107105156152,0.647739325196985,53.5392497189313,25.4487800518432,1.0471130495232,6.27693696991452,5.99451699391267,1.00423264063566,2.85,29.7,0.334632481714555,0.572876348191252,0.195739744580123,0.572970473120011,0.0661613983248069,0.5854607273366,0.00620529861555554,0.00667024542136864
21,41,2300,0.3,0.05,1,6.60624621955707,0.63538309826099,52.7996095750597,23.0248125575876,1.04640619007752,6.58085567133669,6.28900682520731,1.07123265424774,2.83,29.69,0.336675138862828,0.572878946178722,0.189649917389557,0.573013409881119,0.0661617057682019,0.585463399423962,0.00620168448735894,0.00856649033685333
22,41,2300,0.427,0.02,1,6.31933554610058,0.655543035459505,54.2830894594162,29.7172679900921,1.03559986963089,6.05351407301314,5.84541795584691,1.12929765129142,2.88,30.19,0.330623910845275,0.584051584719124,0.203851624796369,0.584106051095283,0.065844329943209,0.596882367402003,0.0062886361782062,0.00488484564436821
23,41,2300,0.427,0.035,1,6.45549843505271,0.649036478159249,53.5501441775877,25.5341154043379,1.03501817613476,6.26340750180284,6.05149517778837,1.19444727293846,2.86,30.17,0.33260533177926,0.58405430035985,0.19583048123376,0.584149616136912,0.0658446436044555,0.596885160165113,0.00628495592865325,0.0066435123689645
