caseID,sideForceScale,rollMomentScale,yawMomentScale,aileronEffectivenessScale,inertiaScale,IxzNormalized,riseTime_s,overshoot_pct,settlingTime_s,finalBankError_deg,peakRollRate_degps,peakAutomaticAileron_deg,peakAutomaticRudder_deg,peakSideslip_deg,peakYawRate_degps,peakAileronRate_degps
1,0.8,0.8,0.8,0.8,0.8,-0.1,3.28,4.81650348957945,11.66,6.9153684064368e-08,3.291089119388,0.689665786808314,0.108046313777602,0.258209107676117,1.8058744192313,1.24100149429888
2,0.8,0.8,0.8,0.8,0.8,0,3.3,4.81163146622721,11.68,7.40993893440596e-08,3.27956449639198,0.679382612526976,0.110639091388537,0.259317518614922,1.8063467588834,1.23936323769259
3,0.8,0.8,0.8,0.8,0.8,0.1,3.34,4.80655871078444,11.7,7.99335921156819e-08,3.26795306088026,0.669410198131644,0.113256188816926,0.269544484525508,1.80679060080989,1.2362980038054
4,0.8,0.8,0.8,0.8,1,-0.1,3.26,4.89556862613557,11.66,7.68351720783125e-08,3.33980798317539,0.707165352876293,0.110761135846452,0.259483704287861,1.80805512721377,1.26097183358608
5,0.8,0.8,0.8,0.8,1,0,3.28,4.8871622661764,11.68,8.31810418134833e-08,3.33294403176478,0.693829345367488,0.114946713694371,0.261223691120025,1.80885384407423,1.25901532814347
6,0.8,0.8,0.8,0.8,1,0.1,3.32,4.87898864733862,11.7,9.09165928959033e-08,3.325884760427,0.680773175212519,0.119307306375339,0.280634799514025,1.80954828795099,1.25535087477277
7,0.8,0.8,0.8,0.8,1.2,-0.1,3.24,4.98026915877746,11.66,8.36479854073784e-08,3.38236637642886,0.725607225392282,0.113056459176039,0.260919917276573,1.81049628724259,1.27649119286879
8,0.8,0.8,0.8,0.8,1.2,0,3.28,4.96324920214105,11.68,9.13616988013554e-08,3.38274195757702,0.709851887066302,0.119242013011353,0.263651072982461,1.81217549579156,1.27486209391939
9,0.8,0.8,0.8,0.8,1.2,0.1,3.3,4.94732990982225,11.72,1.01072951611639e-07,3.38272156829941,0.694323802224386,0.125867295757639,0.290316438228733,1.81373649309696,1.27164908117577
10,0.8,0.8,0.8,1,0.8,-0.1,3.3,3.41048395902339,10.78,4.35044270015881e-07,3.44789964938294,0.579325408762098,0.109417080088164,0.253123168979339,1.78201563742341,1.21625683724505
11,0.8,0.8,0.8,1,0.8,0,3.32,3.4151438026395,10.8,4.16559218575179e-07,3.43693312975542,0.569578886540802,0.112399518031768,0.270433817708044,1.78250014870557,1.21422393326338
12,0.8,0.8,0.8,1,0.8,0.1,3.34,3.41958110892736,10.82,3.981927875116e-07,3.42581592250634,0.560161286613365,0.115421187062377,0.289955596796314,1.78296431836897,1.21042552890579
13,0.8,0.8,0.8,1,1,-0.1,3.28,3.45595839981358,10.78,4.37572365709989e-07,3.49997287407592,0.596217232413311,0.112546057278083,0.25366200409206,1.78367763414647,1.23569077463697
14,0.8,0.8,0.8,1,1,0,3.3,3.46123529379698,10.82,4.14931636508589e-07,3.49477477618211,0.58383682209251,0.117333071182116,0.274689592762328,1.78437560502045,1.23406248555292
15,0.8,0.8,0.8,1,1,0.1,3.34,3.46669461814152,10.84,3.92483515337588e-07,3.48890417256863,0.571794911380685,0.122322612947601,0.302297960164634,1.78498525808609,1.23082333327979
16,0.8,0.8,0.8,1,1.2,-0.1,3.26,3.50034211331461,10.8,4.40380455174371e-07,3.5454627647336,0.613800213190083,0.11519465149003,0.255137861544044,1.7859280647544,1.25075941563072
17,0.8,0.8,0.8,1,1.2,0,3.3,3.50353606172272,10.82,4.13754535484862e-07,3.54839010991996,0.599532612495587,0.122240270129203,0.277101187953478,1.78728670996997,1.24873820921467
18,0.8,0.8,0.8,1,1.2,0.1,3.32,3.50895924471039,10.86,3.87415802390038e-07,3.55015419506137,0.585519962826941,0.129770426202607,0.31302530496605,1.78852001523151,1.24581753173257
19,0.8,0.8,0.8,1.2,0.8,-0.1,3.34,2.56717412415821,9.9,1.33860417237669e-06,3.56078192369452,0.500669612481923,0.111290736772329,0.265851142891797,1.76725488230116,1.19171984465469
20,0.8,0.8,0.8,1.2,0.8,0,3.34,2.57425977799092,9.92,1.31705113403609e-06,3.55022535621589,0.491478188630001,0.114294631478898,0.284142856281387,1.76766364386042,1.18929818765486
21,0.8,0.8,0.8,1.2,0.8,0.1,3.38,2.58122529752436,9.94,1.29545680414434e-06,3.53943151042924,0.482636120230373,0.121088917701931,0.30484964667961,1.76806606274338,1.18477969095297
22,0.8,0.8,0.8,1.2,1,-0.1,3.32,2.59504537530273,9.92,1.3317688327691e-06,3.61465573382647,0.516818256366639,0.113950072572568,0.262895832436911,1.76847909236552,1.21484320161332
23,0.8,0.8,0.8,1.2,1,0,3.34,2.60449971664994,9.96,1.30512516081363e-06,3.61070364163061,0.505362772918621,0.119076145435015,0.288818586650622,1.76896922757753,1.21290096816497
24,0.8,0.8,0.8,1.2,1,0.1,3.36,2.61381042687202,9.98,1.27842178507597e-06,3.60549388804223,0.494237947421463,0.124445076877263,0.318026052652234,1.7694159711613,1.20904121276902
25,0.8,0.8,0.8,1.2,1.2,-0.1,3.32,2.61942340040619,9.94,1.32538021478873e-06,3.66225962850897,0.533530031947507,0.116907759821127,0.25747547827919,1.77045993159443,1.23188368241548
26,0.8,0.8,0.8,1.2,1.2,0,3.34,2.63171345145199,9.98,1.29376325101255e-06,3.66697916615492,0.520569977791292,0.124435123504468,0.291523820466752,1.77128500078962,1.23026915551174
