caseID,plantCaseID,aileronTau_s,isDynamicStable,neutralHeadingPoleMagnitude,minimumDynamicDecayRate_per_s,minimumOscillatoryDampingRatio,balancedDiskMargin,balancedDiskPhaseMargin_deg,balancedDiskGainMargin_dB,diskMarginCriticalFrequency_radps
1,1,0.035,1,0,0.493339437449446,0.602710166688227,1.52423190202197,74.6232069277578,17.393383211465,0.496592321450336
2,1,0.05,1,0,0.496701122600108,0.599565958098538,1.51765301301182,74.3843811428862,17.2578685540668,0.505824662003114
3,1,0.075,1,0,0.502530739108549,0.59373734242209,1.50610451424279,73.9633157889533,17.0237960247214,0.524807460249773
4,2,0.035,1,0,0.490939036801572,0.602154590504544,1.53239285954702,74.9184139349109,17.5637572780014,0.487528490103386
5,2,0.05,1,0,0.494264939923709,0.599189773188991,1.52610033328801,74.6908964628346,17.4321652497922,0.496592321450336
6,2,0.075,1,0,0.500032990367573,0.593656967757266,1.51508096561603,74.2908051228019,17.2053220246589,0.510504999975406
7,3,0.035,1,0,0.48856129367338,0.598776599702559,1.54021103394146,75.2001326877049,17.7294121280556,0.478630092322638
8,3,0.05,1,0,0.491850743099452,0.595976886575937,1.5341758694413,74.9827562886097,17.6013235048791,0.483058802039773
9,3,0.075,1,0,0.497555883963893,0.590715508460376,1.5236315623958,74.6014448744626,17.3809502485419,0.501187233627272
10,4,0.035,1,0,0.495894253491513,0.510367780819125,1.51087482717967,74.1375279129224,17.1199066306729,0.510504999975406
11,4,0.05,1,0,0.499362984532566,0.507129940822479,1.5039557376201,73.8847117591097,16.9807636169845,0.519995996533516
12,4,0.075,1,0,0.505384757105026,0.501250929820017,1.48163410045966,73.0633568384326,16.5429340681588,1.99526231496888
13,5,0.035,1,0,0.492815199367408,0.50132668289428,1.52151011682809,74.5244929208224,17.337123611684,0.496592321450336
14,5,0.05,1,0,0.496236069897631,0.49826781165838,1.5149849026546,74.2873079229336,17.2033641331391,0.505824662003114
15,5,0.075,1,0,0.502175324329487,0.492669522354083,1.5025344591427,73.8326756148279,16.9523882783028,2.12813904598271
16,6,0.035,1,0,0.489773865919028,0.489770643934853,1.53155553782171,74.8881789153359,17.546158624419,0.483058802039773
17,6,0.05,1,0,0.493145835609261,0.486869191811319,1.52536968650594,74.664433849163,17.4169838745339,0.492039535681451
18,6,0.075,1,0,0.499000464445193,0.481514397008196,1.51455447258591,74.2716360063434,17.1945954953658,0.505824662003114
19,7,0.035,1,0,0.498622189851986,0.436878403254578,1.49238115730799,73.4599064444145,16.7516780348693,1.90546071796325
20,7,0.05,1,0,0.502208170465744,0.433864694822675,1.450548831725,71.9048327659325,15.9591815344401,1.92309172891016
21,7,0.075,1,0,0.508440912032601,0.428452500154081,1.38337289094049,69.3421688703284,14.7865450266406,1.94088587759278
22,8,0.035,1,0,0.494823670648082,0.422724867964211,1.50761287140653,74.0184442819254,17.0540992697606,2.03235701093622
23,8,0.05,1,0,0.498347933133654,0.419841339220758,1.46322567633348,72.3793630260741,16.1937811855382,2.05116217882557
24,8,0.075,1,0,0.504474025905599,0.414615857785861,1.39227895290558,69.6865999867704,14.9357456076177,2.07014134879104
25,9,0.035,1,0,0.49108328456327,0.407348617555851,1.51641708548177,74.3394301895896,17.2325886627585,2.14783047413053
26,9,0.05,1,0,0.494544355311059,0.404563836676033,1.46976282464123,72.6229495161734,16.3165923287576,2.14783047413053
27,9,0.075,1,0,0.500560767379536,0.399471526608326,1.39551944139512,69.8115656466515,14.9904776766181,2.16770410481969
28,10,0.035,1,0,0.561418559417544,0.603639389486754,1.59907866338993,77.2874210429221,19.0626433874031,0.519995996533516
29,10,0.05,1,0,0.565450580204447,0.600430419559955,1.59286431548586,77.0698867786851,18.9140329483121,0.529663443891658
30,10,0.075,1,0,0.572455938911872,0.594381447082399,1.57646451197781,76.4926371992592,18.5312822867691,2.14783047413053
31,11,0.035,1,0,0.559075264219122,0.604635878903436,1.60675554988579,77.5552428721869,19.2490821324931,0.505824662003114
32,11,0.05,1,0,0.563094015808952,0.601675055541584,1.59850804355349,77.2674738743278,19.0489125760514,14.3218789927354
33,11,0.075,1,0,0.570079160946431,0.596050913387354,1.57143538306943,76.3146944820407,18.4165296984156,11.2719745617551
34,12,0.035,1,0,0.556721184479148,0.602750537149729,1.61260279484065,77.7585620244098,19.3932746071827,17.0608238900312
35,12,0.05,1,0,0.56072451533638,0.600018420735418,1.58755453626728,76.8834944352228,18.7886396066698,14.3218789927354
36,12,0.075,1,0,0.567685546524193,0.594785344864566,1.55930314987651,75.8836337734298,18.144500650524,11.2719745617551
37,13,0.035,1,0,0.565897564785846,0.50949099108164,1.584140511195,76.7633950493242,18.7087682370838,2.03235701093622
38,13,0.05,1,0,0.570090013531838,0.506105466932529,1.53548767929603,75.030059381962,17.6290418086876,2.07014134879104
39,13,0.075,1,0,0.577382371167406,0.4998623301861,1.45652330077253,72.1288307816286,16.0691711954735,2.12813904598271
40,14,0.035,1,0,0.562881488602439,0.503002277711174,1.59676308683911,77.2064409360663,19.0070310193668,0.515228644581756
41,14,0.05,1,0,0.567056225579272,0.499883065872961,1.55939577100234,75.8869342422072,18.146552376796,2.2080047330189
42,14,0.075,1,0,0.574321776027098,0.494074866023824,1.47524888276589,72.8267848546406,16.4206508098127,2.24905460583578
43,15,0.035,1,0,0.559847464449957,0.493895953167848,1.60618472968444,77.5353633102441,19.235108359962,0.501187233627272
