caseID,sideForceScale,rollMomentScale,yawMomentScale,rudderEffectivenessScale,inertiaScale,IxzNormalized,initialYawRateIntegralRatio,initialBetaIntegralRatio,peakInitialActuatorPosition_deg,peakInitialActuatorRate_degps
1,0.8,0.8,0.8,0.8,0.8,-0.1,0.744243024577726,0.660025950329617,0.962004599886468,14.4418798589245
2,0.8,0.8,0.8,0.8,0.8,0,0.709629159041002,0.610893996382181,0.973504903094704,14.4905866426825
3,0.8,0.8,0.8,0.8,0.8,0.1,0.668191726679514,0.560275625588861,0.983996453092265,14.5325201991149
4,0.8,0.8,0.8,0.8,1,-0.1,0.757642246184108,0.644545826536401,0.993508233620074,14.5269736866252
5,0.8,0.8,0.8,0.8,1,0,0.716524403689384,0.587576397542194,1.00498018758911,14.5669766735363
6,0.8,0.8,0.8,0.8,1,0.1,0.667196909223722,0.531877576473282,1.01461089272824,14.6014067656651
7,0.8,0.8,0.8,0.8,1.2,-0.1,0.769471271039248,0.639263376111834,1.0164496995538,14.5840955660577
8,0.8,0.8,0.8,0.8,1.2,0,0.722239347472232,0.578252236314987,1.02665151628481,14.6180233155482
9,0.8,0.8,0.8,0.8,1.2,0.1,0.664916191388073,0.514302091103864,1.03619635448662,14.6472187892937
10,0.8,0.8,0.8,1,0.8,-0.1,0.71287079598945,0.6393235810915,0.950759754012318,14.4317602645659
11,0.8,0.8,0.8,1,0.8,0,0.677836857478705,0.590184322080053,0.962522375553228,14.4808367580231
12,0.8,0.8,0.8,1,0.8,0.1,0.636383711394662,0.539960557816971,0.972310253401417,14.5229595908081
13,0.8,0.8,0.8,1,1,-0.1,0.727155478759521,0.623750368719949,0.982130991898552,14.518848372324
14,0.8,0.8,0.8,1,1,0,0.685707604585588,0.563944261375437,0.993883700318943,14.5591549389607
15,0.8,0.8,0.8,1,1,0.1,0.63658589217389,0.505031528733436,1.00363749478374,14.5937413256429
16,0.8,0.8,0.8,1,1.2,-0.1,0.740004522476147,0.611783345608669,1.00682303629892,14.577307908571
17,0.8,0.8,0.8,1,1.2,0,0.692603951173844,0.548159336684626,1.01728472958716,14.6114930694507
18,0.8,0.8,0.8,1,1.2,0.1,0.635730122551795,0.483270182603794,1.02596151852803,14.6408215511682
19,0.8,0.8,0.8,1.2,0.8,-0.1,0.685947484142149,0.623227616792613,0.93956739918978,14.4216420300603
20,0.8,0.8,0.8,1.2,0.8,0,0.650830981778487,0.574258421014542,0.95158908881951,14.4710881302692
21,0.8,0.8,0.8,1.2,0.8,0.1,0.609616397925005,0.524450350437161,0.961487395709091,14.5134001874084
22,0.8,0.8,0.8,1.2,1,-0.1,0.700552255373583,0.606735128462624,0.972121600826625,14.5107239311729
23,0.8,0.8,0.8,1.2,1,0,0.659065761542281,0.547370159949936,0.982836923412368,14.55133401069
24,0.8,0.8,0.8,1.2,1,0.1,0.61031537099748,0.488117073355883,0.992712164914183,14.5860766581059
25,0.8,0.8,0.8,1.2,1.2,-0.1,0.713972055125838,0.593018231950939,0.997233704595532,14.5705208587618
26,0.8,0.8,0.8,1.2,1.2,0,0.666621794693833,0.527731871015828,1.00795280790438,14.6049633841605
27,0.8,0.8,0.8,1.2,1.2,0.1,0.610317412718228,0.462306921552658,1.01674719495616,14.6344248501104
28,0.8,0.8,1,0.8,0.8,-0.1,0.761649694904943,0.693287986878865,0.940249172421143,14.356501356517
29,0.8,0.8,1,0.8,0.8,0,0.731068224945503,0.650743215710015,0.951707009597658,14.4057689070581
30,0.8,0.8,1,0.8,0.8,0.1,0.695585433879356,0.6088419630486,0.961071918145819,14.4467669131614
31,0.8,0.8,1,0.8,1,-0.1,0.771632356028707,0.675867326485042,0.972893817397947,14.4583151454655
32,0.8,0.8,1,0.8,1,0,0.735470718497741,0.625445711679324,0.984344122738949,14.4988134696458
33,0.8,0.8,1,0.8,1,0.1,0.693103851390542,0.578435614694622,0.993684237180073,14.5325034313221
34,0.8,0.8,1,0.8,1.2,-0.1,0.780670422246245,0.66583527615268,0.998930881297154,14.5266824729223
35,0.8,0.8,1,0.8,1.2,0,0.738846621609581,0.613408475236474,1.00914137777212,14.5610497874068
36,0.8,0.8,1,0.8,1.2,0.1,0.690424788224116,0.562368657299531,1.01746215392395,14.5896333713987
37,0.8,0.8,1,1,0.8,-0.1,0.731822243510684,0.672749829638756,0.929182296610614,14.3464161648312
38,0.8,0.8,1,1,0.8,0,0.700451026616109,0.629814985022741,0.940899048549351,14.3960524807382
39,0.8,0.8,1,1,0.8,0.1,0.664466619785244,0.587868949851738,0.95037795853057,14.4372400734573
40,0.8,0.8,1,1,1,-0.1,0.742712427594135,0.655359838917934,0.96351760528723,14.4502120907309
41,0.8,0.8,1,1,1,0,0.705843997942033,0.604463770695897,0.973795806022785,14.49101337267
42,0.8,0.8,1,1,1,0.1,0.663190929348039,0.553956038077866,0.982872629867493,14.5248598252965
43,0.8,0.8,1,1,1.2,-0.1,0.752795919470832,0.641182415383759,0.989420014081925,14.5199104260593
44,0.8,0.8,1,1,1.2,0,0.710445730399704,0.583272707161471,0.999887824666754,14.5545347113356
45,0.8,0.8,1,1,1.2,0.1,0.661926350393119,0.529793052176637,1.00832856244545,14.5832514390435
46,0.8,0.8,1,1.2,0.8,-0.1,0.706325700002066,0.656913160537704,0.918167207266423,14.3363323290289
47,0.8,0.8,1,1.2,0.8,0,0.674519367913483,0.613786840805927,0.930139659243459,14.3863373075914
48,0.8,0.8,1,1.2,0.8,0.1,0.638324992971472,0.571863474428059,0.939730999622552,14.4277144349483
49,0.8,0.8,1,1.2,1,-0.1,0.717475494578924,0.63856729324819,0.954492664836942,14.4421099070862
50,0.8,0.8,1,1.2,1,0,0.680219742838451,0.587688460695698,0.965007561446028,14.4832140800632
51,0.8,0.8,1,1.2,1,0.1,0.637487244052635,0.53753227197372,0.973423020391923,14.5172169898314
52,0.8,0.8,1,1.2,1.2,-0.1,0.728150602799798,0.624356559214781,0.979946099031848,14.5131389856665
53,0.8,0.8,1,1.2,1.2,0,0.685488049309321,0.565034811008859,0.990668777618397,14.5480201949377
54,0.8,0.8,1,1.2,1.2,0.1,0.637041724784666,0.508483223552209,0.999228268735619,14.5768700426288
55,0.8,0.8,1.2,0.8,0.8,-0.1,0.777391362670691,0.721590933752565,0.918977933055523,14.2716243973638
56,0.8,0.8,1.2,0.8,0.8,0,0.749202247139088,0.683078441381067,0.930403826548129,14.321464182336
57,0.8,0.8,1.2,0.8,0.8,0.1,0.718386333523178,0.647271943471788,0.939483012249434,14.3615571743319
58,0.8,0.8,1.2,0.8,1,-0.1,0.784732042384835,0.703021378675078,0.955031815636201,14.3899791374333
59,0.8,0.8,1.2,0.8,1,0,0.752314789979528,0.65837041793391,0.965078019956346,14.4309801442868
60,0.8,0.8,1.2,0.8,1,0.1,0.714914939755848,0.616660983758108,0.97319607301997,14.4639497998563
61,0.8,0.8,1.2,0.8,1.2,-0.1,0.791522162952825,0.689639153064061,0.981700942580254,14.4694940736423
62,0.8,0.8,1.2,0.8,1.2,0,0.754081685292727,0.644288175141835,0.991926005671658,14.5043060565216
63,0.8,0.8,1.2,0.8,1.2,0.1,0.711382325165556,0.601161344507645,1.00002499210719,14.5322916498659
64,0.8,0.8,1.2,1,0.8,-0.1,0.748789653911145,0.701209641815416,0.908548254749667,14.2615734692688
65,0.8,0.8,1.2,1,0.8,0,0.719540123423731,0.662041006224825,0.919767330357644,14.3117810756516
66,0.8,0.8,1.2,1,0.8,0.1,0.687834041640619,0.625878488207726,0.928962367184916,14.3520639570375
67,0.8,0.8,1.2,1,1,-0.1,0.757011666539097,0.682759660350584,0.946088221373875,14.3818982700565
68,0.8,0.8,1.2,1,1,0,0.72362360954419,0.637807277361985,0.956370834018193,14.4232016129209
69,0.8,0.8,1.2,1,1,0.1,0.685593600147455,0.593828573461373,0.964451730308315,14.4563279519464
70,0.8,0.8,1.2,1,1.2,-0.1,0.764879688356034,0.66740111449736,0.972304366481925,14.4627375950791
71,0.8,0.8,1.2,1,1.2,0,0.726630057323761,0.615275885155706,0.982784185637575,14.4978061082894
72,0.8,0.8,1.2,1,1.2,0.1,0.683461733071007,0.568103146863874,0.991004214990241,14.5259249788136
73,0.8,0.8,1.2,1.2,0.8,-0.1,0.724351327466485,0.68548519488887,0.900011548377054,14.2515238931014
74,0.8,0.8,1.2,1.2,0.8,0,0.694423327285056,0.645867111877117,0.910382047980136,14.302099218421
75,0.8,0.8,1.2,1.2,0.8,0.1,0.662178966273998,0.609444855392499,0.918488065775222,14.3425719372398
76,0.8,0.8,1.2,1.2,1,-0.1,0.732814328330125,0.666068196916138,0.937178045439414,14.3738182717152
77,0.8,0.8,1.2,1.2,1,0,0.698764982585312,0.620848116093959,0.947694879844918,14.4154238839934
78,0.8,0.8,1.2,1.2,1,0.1,0.660287802880719,0.576931363383013,0.955886365701719,14.4487068726781
79,0.8,0.8,1.2,1.2,1.2,-0.1,0.741286576682232,0.650744318977125,0.964659993546212,14.4559817217818
80,0.8,0.8,1.2,1.2,1.2,0,0.702446142272709,0.59865045745417,0.97401268318243,14.491306718599
81,0.8,0.8,1.2,1.2,1.2,0.1,0.658996916491545,0.548788448074339,0.982016382333281,14.5195588425776
82,0.8,1,0.8,0.8,0.8,-0.1,0.745599669350733,0.66369210959345,0.960417027674026,14.4319861185256
83,0.8,1,0.8,0.8,0.8,0,0.712981722395753,0.616348577143787,0.973203304818868,14.4900767641501
84,0.8,1,0.8,0.8,0.8,0.1,0.672871887952531,0.566147975295551,0.985185485929538,14.541627771633
85,0.8,1,0.8,0.8,1,-0.1,0.759863691534579,0.649792505542274,0.991860268734195,14.5186680244412
86,0.8,1,0.8,0.8,1,0,0.72110396224085,0.594330393801795,1.00471039715048,14.5666374469625
87,0.8,1,0.8,0.8,1,0.1,0.672709161939036,0.538356543848766,1.01587785798393,14.6091897984239
88,0.8,1,0.8,0.8,1.2,-0.1,0.772526959628447,0.646324288461333,1.01489025054823,14.5769476239563
89,0.8,1,0.8,0.8,1.2,0,0.728019660765088,0.586050954434074,1.02644432371268,14.6177815510898
90,0.8,1,0.8,0.8,1.2,0.1,0.671787502448853,0.521387862422242,1.03754678583637,14.6539944569465
91,0.8,1,0.8,1,0.8,-0.1,0.713962396497194,0.64286723726025,0.949214278075876,14.4218778093027
92,0.8,1,0.8,1,0.8,0,0.680959585486622,0.595488955975099,0.962224206864859,14.4803271047186
93,0.8,1,0.8,1,0.8,0.1,0.640873692602513,0.545646084572156,0.973442241887205,14.5320595198441
94,0.8,1,0.8,1,1,-0.1,0.72911694674235,0.628847822470589,0.980522957860281,14.5105501298147
95,0.8,1,0.8,1,1,0,0.690027400715574,0.570870204809035,0.993616780627562,14.5588158308786
96,0.8,1,0.8,1,1,0.1,0.641875800310523,0.511594853018294,1.00487955906162,14.6015192825731
97,0.8,1,0.8,1,1.2,-0.1,0.742817293578778,0.618882876563541,1.00529335639431,14.5701652201946
98,0.8,1,0.8,1,1.2,0,0.69810015682689,0.55595672553061,1.01707931578707,14.6112513749374
